"name","year","rating","genre1","genre2","cast","synopsis","imdb_votes","director","awards","budget","opening_weekend","gross_world","run_time"
"Treasure Planet","(2002)","7.2","Animation","Adventure","Roscoe Lee Browne,Corey Burton,Dane A. Davis,Joseph Gordon-Levitt,Tony Jay","
        
            A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.
    ","(111,191)","Ron Clements","
Nominated for 1 Oscar. Another 1 win & 13 nominations.
            ","
                    $140,000,000 (estimated)
            ","
                    $12,083,248, 01 Dec 2002
            ","
                    $109,578,115
            ","
                            95 min
                        "
"Thursday","(1998)","7.2","Action","Comedy","Thomas Jane,Aaron Eckhart,Paulina Porizkova,James Le Gros,Paula Marshall","
        
            A former L.A. drug dealer has moved to Houston to make a new life for himself as a married architect. Everything falls apart when he is suddenly visited by one of his former cohorts who comes carrying heroin.
    ","(18,062)","Skip Woods","
1 win & 1 nomination.
            ","
                    $1,971, 15 Nov 1998
            ",NA,NA,"
                            87 min
                        "
"Fantasia 2000","(1999)","7.2","Animation","Family","Steve Martin,Itzhak Perlman,Quincy Jones,Bette Midler,James Earl Jones","
        
            An update of the original film with new interpretations of great works of classical music.
    ","(37,207)","James Algar","
4 wins & 7 nominations.
            ","
                    $80,000,000 (estimated)
            ","
                    $2,911,485, 18 Jun 2000
            ","
                    $90,874,570
            ","
                            75 min
                        "
"A Bug's Life","(1998)","7.2","Animation","Adventure","Dave Foley,Kevin Spacey,Julia Louis-Dreyfus,Hayden Panettiere,Phyllis Diller","
        
            A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.
    ","(280,287)","John Lasseter","
Nominated for 1 Oscar. Another 14 wins & 20 nominations.
            ","
                    $45,000,000 (estimated)
            ","
                    $33,258,052, 29 Nov 1998
            ","
                    $363,398,565
            ","
                            95 min
                        "
"Starship Troopers","(1997)","7.2","Action","Adventure","Casper Van Dien,Dina Meyer,Denise Richards,Jake Busey,Neil Patrick Harris","
        
            Humans in a fascist, militaristic future wage war with giant alien bugs.
    ","(282,420)","Paul Verhoeven","
Nominated for 1 Oscar. Another 3 wins & 15 nominations.
            ","
                    $105,000,000 (estimated)
            ","
                    $22,058,773, 09 Nov 1997
            ","
                    $121,214,377
            ","
                            129 min
                        "
"Meet Joe Black","(1998)","7.2","Drama","Fantasy","Brad Pitt,Anthony Hopkins,Claire Forlani,Jake Weber,Marcia Gay Harden","
        
            Death, who takes the form of a young man, asks a media mogul to act as a guide to teach him about life on Earth, and in the process, he falls in love with his guide's daughter.
    ","(229,279)","Martin Brest","
3 wins & 6 nominations.
            ","
                    $90,000,000 (estimated)
            ","
                    $15,017,995, 15 Nov 1998
            ","
                    $142,940,100
            ","
                            178 min
                        "
"The Full Monty","(1997)","7.2","Comedy","Drama","Robert Carlyle,Mark Addy,Wim Snape,Steve Huison,Tom Wilkinson","
        
            Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.
    ","(103,467)","Peter Cattaneo","
Won 1 Oscar. Another 36 wins & 35 nominations.
            ","
                    $3,500,000 (estimated)
            ","
                    GBP523,961, 02 Jan 1998
            ","
                    $257,938,649
            ","
                            91 min
                        "
"Face/Off","(1997)","7.2","Action","Crime","John Travolta,Nicolas Cage,Joan Allen,Alessandro Nivola,Gina Gershon","
        
            To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely and seeks revenge.
    ","(363,338)","John Woo","
Nominated for 1 Oscar. Another 11 wins & 21 nominations.
            ","
                    $80,000,000 (estimated)
            ","
                    $23,387,530, 29 Jun 1997
            ","
                    $128,000,000, 22 Mar 1998
            ","
                            138 min
                        "
"Chasing Amy","(1997)","7.2","Comedy","Drama","Ethan Suplee,Ben Affleck,Scott Mosier,Jason Lee,Casey Affleck","
        
            Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.
    ","(135,812)","Kevin Smith","
5 wins & 16 nominations.
            ","
                    $250,000 (estimated)
            ","
                    $1,642,402, 20 Apr 1997
            ","
                    $15,169,853
            ","
                            113 min
                        "
"Bent","(1997)","7.2","Drama","History","Mick Jagger,Clive Owen,Brian Webber,Nikolaj Coster-Waldau,Jude Law","
        
            In 1930s Berlin, a gay Jew is sent to a concentration camp under the Nazi regime.
    ","(8,125)","Sean Mathias","
3 wins & 3 nominations.
            ",NA,NA,NA,"
                            105 min
                        "
"Anastasia","(1997)","7.2","Animation","Adventure","Meg Ryan,John Cusack,Kelsey Grammer,Christopher Lloyd,Hank Azaria","
        
            The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.
    ","(118,414)","Don Bluth","
Nominated for 2 Oscars. Another 10 wins & 21 nominations.
            ","
                    $50,000,000 (estimated)
            ","
                    $14,242,807, 23 Nov 1997
            ","
                    $139,804,348
            ","
                            94 min
                        "
"Swingers","(1996)","7.2","Comedy","Drama","Jon Favreau,Vince Vaughn,Ron Livingston,Patrick Van Horn,Alex Désert","
        
            A wannabe actor has a hard time moving on from a break-up, but he is lucky to have supportive friends.
    ","(80,315)","Doug Liman","
3 wins & 3 nominations.
            ","
                    $200,000 (estimated)
            ","
                    $74,118, 20 Oct 1996
            ",NA,"
                            96 min
                        "
"From Dusk Till Dawn","(1996)","7.2","Action","Crime","George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Ernest Liu","
        
            Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.
    ","(301,506)","Robert Rodriguez","
7 wins & 13 nominations.
            ","
                    $19,000,000 (estimated)
            ","
                    $10,240,805, 21 Jan 1996
            ","
                    $33,500,000
            ","
                            108 min
                        "
"Brassed Off","(1996)","7.2","Comedy","Drama","Pete Postlethwaite,Tara Fitzgerald,Ewan McGregor,Stephen Tompkinson,Jim Carter","
        
            The coal mine in a northern English village may be closing, which would also mean the end of the miners' brass band.
    ","(19,451)","Mark Herman","
Nominated for 1 BAFTA Film Award. Another 10 wins & 6 nominations.
            ","
                    GBP1,674,359, 15 Nov 1996
            ",NA,NA,"
                            108 min
                        "
"Box of Moonlight","(1996)","7.2","Comedy","Drama","John Turturro,Sam Rockwell,Catherine Keener,Lisa Blount,Annie Corley","
        
            An engineer finds his first gray hair, takes 6 days off from wife, son and work, rents a car and meets different people.
    ","(5,579)","Tom DiCillo","
2 nominations.
            ",NA,NA,NA,"
                            112 min
                        "
"Strange Days","(1995)","7.2","Crime","Drama","Ralph Fiennes,Angela Bassett,Juliette Lewis,Tom Sizemore,Michael Wincott","
        
            A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.
    ","(70,018)","Kathryn Bigelow","
2 wins & 4 nominations.
            ","
                    $42,000,000 (estimated)
            ",NA,NA,"
                            145 min
                        "
"In the Mouth of Madness","(1994)","7.2","Drama","Fantasy","Sam Neill,Julie Carmen,Jürgen Prochnow,David Warner,John Glover","
        
            An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.
    ","(66,380)","John Carpenter","
1 win & 4 nominations.
            ","
                    $8,000,000 (estimated)
            ",NA,NA,"
                            95 min
                        "
"GoldenEye","(1995)","7.2","Action","Adventure","Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker","
        
            Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.
    ","(250,137)","Martin Campbell","
Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.
            ","
                    $60,000,000 (estimated)
            ","
                    GBP12,393,233, 15 Dec 1995
            ","
                    $352,194,034
            ","
                            130 min
                        "
"Desperado","(1995)","7.2","Action","Crime","Antonio Banderas,Salma Hayek,Joaquim de Almeida,Cheech Marin,Steve Buscemi","
        
            Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.
    ","(180,224)","Robert Rodriguez","
1 win & 5 nominations.
            ","
                    $7,000,000 (estimated)
            ",NA,NA,"
                            104 min
                        "
"The Thief and the Cobbler","(1993)","7.2","Animation","Action","Vincent Price,Bobbi Page,Steve Lively,Ed E. Carroll,Clive Revill","
        
            A lonely princess and a poor cobbler fall in love while trying to retrieve three magical orbs that were stolen by a bumbling thief, all while outwitting a powerful sorcerer as adventure and comedic pop culture references abound.
    ","(3,929)","Richard Williams",NA,"
                    $28,000,000 (estimated)
            ",NA,NA,"
                            90 min
                        "
"True Lies","(1994)","7.2","Action","Comedy","Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,Tia Carrere","
        
            A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.
    ","(249,544)","James Cameron","
Nominated for 1 Oscar. Another 8 wins & 22 nominations.
            ","
                    $115,000,000 (estimated)
            ","
                    $25,869,770, 17 Jul 1994
            ","
                    $378,882,411
            ","
                            141 min
                        "
"Speed","(1994)","7.2","Action","Adventure","Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton,Jeff Daniels","
        
            A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.
    ","(347,853)","Jan de Bont","
Won 2 Oscars. Another 18 wins & 20 nominations.
            ","
                    $30,000,000 (estimated)
            ","
                    $14,800,000, 12 Jun 1994
            ","
                    $350,448,145
            ","
                            116 min
                        "
"Muriel's Wedding","(1994)","7.2","Comedy","Drama","Sophie Lee,Roz Hammond,Toni Collette,Belinda Jarrett,Pippa Grandison","
        
            A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.
    ","(37,563)","P.J. Hogan","
Nominated for 1 BAFTA Film Award. Another 9 wins & 11 nominations.
            ","
                    $3,000,000 (estimated)
            ","
                    $42,300,000
            ",NA,"
                            106 min
                        "
"In the Line of Fire","(1993)","7.2","Action","Crime","Clint Eastwood,John Malkovich,Rene Russo,Dylan McDermott,Gary Cole","
        
            Secret Service agent Frank Horrigan (Clint Eastwood) couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.
    ","(99,706)","Wolfgang Petersen","
Nominated for 3 Oscars. Another 2 wins & 14 nominations.
            ","
                    $40,000,000 (estimated)
            ","
                    $85,000,000
            ",NA,"
                            128 min
                        "
"Fear of a Black Hat","(1993)","7.2","Comedy","Music","Mark Christopher Lawrence,Larry B. Scott,Rusty Cundieff,Kasi Lemmons,Howie Gold","
        
            A mockumentary chronicling the rise and fall of NWH, a not particularly talented--or particularly bright but always controversial--hip-hop group.
    ","(4,105)","Rusty Cundieff","
1 nomination.
            ","
                    $999,999 (estimated)
            ",NA,NA,"
                            88 min
                        "
"A River Runs Through It","(1992)","7.2","Drama",NA,"Craig Sheffer,Brad Pitt,Tom Skerritt,Brenda Blethyn,Emily Lloyd","
        
            Two sons of a stern minister - one reserved, one rebellious - grow up in rural 1920s Montana while devoted to fly fishing.
    ","(57,286)","Robert Redford","
Won 1 Oscar. Another 3 wins & 11 nominations.
            ","
                    $12,000,000 (estimated)
            ",NA,NA,"
                            123 min
                        "
"Bitter Moon","(1992)","7.2","Drama","Romance","Peter Coyote,Emmanuelle Seigner,Hugh Grant,Kristin Scott Thomas,Victor Banerjee","
        
            After hearing stories of her, a passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife.
    ","(37,665)","Roman Polanski","
1 win & 2 nominations.
            ","
                    $5,000,000 (estimated)
            ",NA,NA,"
                            139 min
                        "
"In the Soup","(1992)","7.2","Comedy","Drama","Steve Buscemi,Seymour Cassel,Jennifer Beals,Pat Moya,Will Patton","
        
            New Yorker Adolpho Rollo is your classic head-movie auteur. In his mind, he's creating deathless classics of the screen. Back in the real world, he can't pay the rent on the downtown grothole he calls home.
    ","(3,579)","Alexandre Rockwell","
5 wins & 3 nominations.
            ",NA,NA,NA,"
                            93 min
                        "
"Star Trek VI: The Undiscovered Country","(1991)","7.2","Action","Adventure","William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,Walter Koenig","
        
            On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.
    ","(73,769)","Nicholas Meyer","
Nominated for 2 Oscars. Another 2 wins & 7 nominations.
            ","
                    $30,000,000 (estimated)
            ","
                    $96,888,996
            ",NA,"
                            110 min
                        "
"The Doors","(1991)","7.2","Biography","Drama","Val Kilmer,Meg Ryan,Kyle MacLachlan,Frank Whaley,Kevin Dillon","
        
            The story of the famous and influential 1960s rock band The Doors and its lead singer and composer, Jim Morrison, from his days as a UCLA film student in Los Angeles, to his untimely death in Paris, France at age 27 in 1971.
    ","(89,282)","Oliver Stone","
3 nominations.
            ","
                    $38,000,000 (estimated)
            ",NA,NA,"
                            140 min
                        "
"Wild at Heart","(1990)","7.2","Comedy","Crime","Nicolas Cage,Laura Dern,Willem Dafoe,J.E. Freeman,Crispin Glover","
        
            Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.
    ","(89,906)","David Lynch","
Nominated for 1 Oscar. Another 5 wins & 11 nominations.
            ","
                    $9,500,000 (estimated)
            ",NA,NA,"
                            125 min
                        "
"Shirley Valentine","(1989)","7.2","Comedy","Drama","Pauline Collins,Tom Conti,Julia McKenzie,Alison Steadman,Joanna Lumley","
        
            Shirley is a 42-year-old bored Liverpudlian housewife who takes a holiday trip to Greece and meets a local man who bolsters her self-confidence. She evolves and transforms to the point that her husband doesn't even recognize her.
    ","(7,768)","Lewis Gilbert","
Nominated for 2 Oscars. Another 4 wins & 7 nominations.
            ",NA,NA,NA,"
                            108 min
                        "
"Major League","(1989)","7.2","Comedy","Sport","Tom Berenger,Charlie Sheen,Corbin Bernsen,Margaret Whitton,James Gammon","
        
            The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.
    ","(66,242)","David S. Ward","
1 nomination.
            ","
                    $11,000,000 (estimated)
            ","
                    $8,836,265, 09 Apr 1989
            ",NA,"
                            107 min
                        "
"Lethal Weapon 2","(1989)","7.2","Action","Crime","Mel Gibson,Danny Glover,Joe Pesci,Joss Ackland,Derrick O'Connor","
        
            Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.
    ","(169,768)","Richard Donner","
Nominated for 1 Oscar. Another 1 win & 1 nomination.
            ","
                    $28,000,000 (estimated)
            ","
                    $20,388,800, 09 Jul 1989
            ","
                    $227,853,986
            ","
                            114 min
                        "
"Heathers","(1988)","7.2","Comedy","Crime","Winona Ryder,Christian Slater,Shannen Doherty,Lisanne Falk,Kim Walker","
        
            At Westerburg High where cliques rule, jocks dominate and all the popular girls are named Heather, it's going to take a Veronica and mysterious new kid to give teen angst a body count.
    ","(97,458)","Michael Lehmann","
3 wins & 11 nominations.
            ","
                    $3,000,000 (estimated)
            ","
                    $177,247, 02 Apr 1989
            ",NA,"
                            103 min
                        "
"The Adventures of Baron Munchausen","(1988)","7.2","Adventure","Comedy","John Neville,Eric Idle,Sarah Polley,Oliver Reed,Charles McKeown","
        
            An account of Baron Munchausen's supposed travels and fantastical experiences across late 18th-century Europe with his band of misfits.
    ","(52,518)","Terry Gilliam","
Nominated for 4 Oscars. Another 11 wins & 10 nominations.
            ","
                    $46,630,000 (estimated)
            ",NA,NA,"
                            126 min
                        "
"Eight Men Out","(1988)","7.2","Drama","History","Jace Alexander,John Cusack,Gordon Clapp,Don Harvey,Bill Irwin","
        
            A dramatization of the Black Sox scandal when the underpaid Chicago White Sox accepted bribes to deliberately lose the 1919 World Series.
    ","(19,810)","John Sayles","
2 nominations.
            ","
                    $6,000,000 (estimated)
            ","
                    $1,129,491, 05 Sep 1988
            ",NA,"
                            119 min
                        "
"The Chipmunk Adventure","(1987)","7.2","Animation","Adventure","Ross Bagdasarian Jr.,Janice Karman,Dody Goodman,Susan Tyrrell,Anthony De Longis","
        
            The Chipmunks compete with the Chipettes in a round the world race.
    ","(5,358)","Janice Karman","
1 nomination.
            ",NA,NA,NA,"
                            78 min
                        "
"True Stories","(1986)","7.2","Comedy","Musical","John Goodman,Annie McEnroe,Jo Harvey Allen,Spalding Gray,Alix Elias","
        
            A small but growing Texas town, filled with strange and musical characters, celebrates its sesquicentennial and converge on a local parade and talent show.
    ","(6,432)","David Byrne","
1 win & 2 nominations.
            ",NA,NA,NA,"
                            89 min
                        "
"Manhunter","(1986)","7.2","Crime","Mystery","William Petersen,Kim Greist,Joan Allen,Brian Cox,Dennis Farina","
        
            Former FBI profiler Will Graham returns to service to pursue a deranged serial killer dubbed ""the Tooth Fairy"" by the media.
    ","(70,904)","Michael Mann","
1 win & 1 nomination.
            ","
                    $15,000,000 (estimated)
            ","
                    $2,204,400, 17 Aug 1986
            ",NA,"
                            120 min
                        "
"The Great Mouse Detective","(1986)","7.2","Animation","Adventure","Vincent Price,Barrie Ingham,Val Bettin,Susanne Pollatschek,Candy Candido","
        
            Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan.
    ","(47,857)","Ron Clements","
1 win & 3 nominations.
            ","
                    $14,000,000 (estimated)
            ",NA,NA,"
                            74 min
                        "
"Runaway Train","(1985)","7.2","Action","Adventure","Jon Voight,Eric Roberts,Rebecca De Mornay,Kyle T. Heffner,John P. Ryan","
        
            Two escaped convicts and a female railway worker find themselves trapped on a speeding train with no brakes and nobody driving.
    ","(28,523)","Andrey Konchalovskiy","
Nominated for 3 Oscars. Another 2 wins & 5 nominations.
            ","
                    $9,000,000 (estimated)
            ","
                    $2,601,480, 06 Dec 1985
            ",NA,"
                            111 min
                        "
"Out of Africa","(1985)","7.2","Biography","Drama","Meryl Streep,Robert Redford,Klaus Maria Brandauer,Michael Kitchen,Malick Bowens","
        
            In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.
    ","(77,058)","Sydney Pollack","
Won 7 Oscars. Another 23 wins & 27 nominations.
            ","
                    $31,000,000 (estimated)
            ","
                    $3,637,290, 22 Dec 1985
            ","
                    $266,185,197
            ","
                            161 min
                        "
"Mask","(1985)","7.2","Biography","Drama","Cher,Sam Elliott,Eric Stoltz,Estelle Getty,Richard Dysart","
        
            A teenager with a massive facial skull deformity and biker gang mother attempt to live as normal a life as possible under the circumstances.
    ","(27,837)","Peter Bogdanovich","
Won 1 Oscar. Another 2 wins & 7 nominations.
            ","
                    $8,000,000 (estimated)
            ",NA,NA,"
                            120 min
                        "
"Better Off Dead...","(1985)","7.2","Comedy","Romance","John Cusack,David Ogden Stiers,Kim Darby,Demian Slade,Scooter Stevens","
        
            After his girlfriend ditches him for a boorish ski jock, Lane decides that suicide is the only answer. However, his increasingly inept attempts bring him only more agony and embarrassment. Filled with the wildest teen nightmares.
    ","(43,386)","Savage Steve Holland",NA,"
                    $56,371, 25 Aug 1985
            ",NA,NA,"
                            97 min
                        "
"Top Secret!","(1984)","7.2","Comedy","Crime","Val Kilmer,Lucy Gutteridge,Peter Cushing,Jeremy Kemp,Christopher Villiers","
        
            An American rock and roll singer becomes involved in a Resistance plot to rescue a scientist imprisoned in East Germany.
    ","(64,276)","Jim Abrahams",NA,"
                    $9,000,000 (estimated)
            ",NA,NA,"
                            90 min
                        "
"A Soldier's Story","(1984)","7.2","Crime","Drama","Howard E. Rollins Jr.,Adolph Caesar,Art Evans,David Alan Grier,David Harris","
        
            An African-American officer investigates a murder in a racially charged situation in World War II.
    ","(9,737)","Norman Jewison","
Nominated for 3 Oscars. Another 6 wins & 6 nominations.
            ","
                    $6,000,000 (estimated)
            ","
                    $156,383, 16 Sep 1984
            ",NA,"
                            101 min
                        "
"Videodrome","(1983)","7.2","Horror","Sci-Fi","James Woods,Sonja Smits,Debbie Harry,Peter Dvorsky,Leslie Carlson","
        
            A programmer at a TV station that specializes in adult entertainment searches for the producers of a dangerous and bizarre broadcast.
    ","(89,026)","David Cronenberg","
3 wins & 7 nominations.
            ","
                    $5,952,000 (estimated)
            ",NA,NA,"
                            87 min
                        "
"Rumble Fish","(1983)","7.2","Crime","Drama","Matt Dillon,Mickey Rourke,Diane Lane,Dennis Hopper,Diana Scarwid","
        
            Absent-minded street thug Rusty James struggles to live up to his legendary older brother's reputation, and longs for the days of gang warfare.
    ","(33,464)","Francis Ford Coppola","
3 wins & 4 nominations.
            ","
                    $10,000,000 (estimated)
            ","
                    $18,985, 10 Oct 1983
            ",NA,"
                            94 min
                        "
"Educating Rita","(1983)","7.2","Comedy","Drama","Michael Caine,Julie Walters,Michael Williams,Maureen Lipman,Jeananne Crowley","
        
            An alcoholic professor has been hired by a working-class girl for higher education.
    ","(13,621)","Lewis Gilbert","
Nominated for 3 Oscars. Another 6 wins & 5 nominations.
            ",NA,NA,NA,"
                            110 min
                        "
"The Dead Zone","(1983)","7.2","Drama","Horror","Christopher Walken,Brooke Adams,Tom Skerritt,Herbert Lom,Anthony Zerbe","
        
            A man awakens from a coma to discover he has a psychic ability.
    ","(67,271)","David Cronenberg","
7 wins & 4 nominations.
            ","
                    $10,000,000 (estimated)
            ","
                    $4,556,083, 23 Oct 1983
            ",NA,"
                            103 min
                        "
"The Big Chill","(1983)","7.2","Comedy","Drama","Tom Berenger,Glenn Close,Jeff Goldblum,William Hurt,Kevin Kline","
        
            A group of seven former college friends gather for a weekend reunion at a South Carolina vacation home after the funeral of another of their college friends.
    ","(35,707)","Lawrence Kasdan","
Nominated for 3 Oscars. Another 3 wins & 5 nominations.
            ","
                    $8,000,000 (estimated)
            ","
                    $56,968, 08 Nov 1998
            ",NA,"
                            105 min
                        "
"Bad Boys","(1983)","7.2","Crime","Drama","Sean Penn,Reni Santoni,Jim Moody,Eric Gurry,Esai Morales","
        
            Chicago crime kid Mick O'Brien is sent to reform school after accidentally killing a rival's kid brother.
    ","(14,937)","Rick Rosenthal","
1 win.
            ","
                    $2,171,197, 27 Mar 1983
            ",NA,NA,"
                            123 min
                        "
"The World According to Garp","(1982)","7.2","Comedy","Drama","Robin Williams,Mary Beth Hurt,Glenn Close,John Lithgow,Hume Cronyn","
        
            A struggling young writer finds his life and work dominated by his unfaithful wife and his radical feminist mother, whose best-selling manifesto turns her into a cultural icon.
    ","(26,179)","George Roy Hill","
Nominated for 2 Oscars. Another 5 wins & 4 nominations.
            ","
                    $17,000,000 (estimated)
            ",NA,NA,"
                            136 min
                        "
"Fast Times at Ridgemont High","(1982)","7.2","Comedy","Drama","Sean Penn,Jennifer Jason Leigh,Judge Reinhold,Robert Romanus,Brian Backer","
        
            A group of Southern California high school students are enjoying their most important subjects: sex, drugs, and rock n' roll.
    ","(101,088)","Amy Heckerling","
1 win & 1 nomination.
            ","
                    $4,500,000 (estimated)
            ","
                    $2,545,674, 15 Aug 1982
            ",NA,"
                            90 min
                        "
"The Dark Crystal","(1982)","7.2","Adventure","Family","Jim Henson,Kathryn Mullen,Frank Oz,Dave Goelz,Steve Whitmire","
        
            On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and to restore order to his world.
    ","(64,793)","Jim Henson","
Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.
            ","
                    $15,000,000 (estimated)
            ",NA,NA,"
                            93 min
                        "
"Looney, Looney, Looney Bugs Bunny Movie","(1981)","7.2","Animation","Comedy","Mel Blanc,June Foray,Frank Nelson,Frank Welker,Stan Freberg","
        
            Bugs Bunny hosts an award show featuring several classic Looney Toon shorts.
    ","(2,315)","Friz Freleng",NA,NA,NA,NA,"
                            79 min
                        "
"The Great Muppet Caper","(1981)","7.2","Adventure","Comedy","Jim Henson,Frank Oz,Dave Goelz,Jerry Nelson,Richard Hunt","
        
            Kermit the Frog, The Great Gonzo, and Fozzie Bear are reporters who travel to Britain to interview a rich victim of jewel thieves and help her along with her secretary, Miss Piggy.
    ","(14,956)","Jim Henson","
Nominated for 1 Oscar. Another 1 nomination.
            ",NA,NA,NA,"
                            97 min
                        "
"Escape from New York","(1981)","7.2","Action","Adventure","Kurt Russell,Lee Van Cleef,Ernest Borgnine,Donald Pleasence,Isaac Hayes","
        
            In 1997, when the U.S. president crashes into Manhattan, now a giant maximum security prison, a convicted bank robber is sent in to rescue him.
    ","(136,093)","John Carpenter","
4 nominations.
            ","
                    $6,000,000 (estimated)
            ","
                    $4,162,000, 12 Jul 1981
            ","
                    $50,000,000
            ","
                            99 min
                        "
"Diva","(1981)","7.2","Music","Thriller","Wilhelmenia Fernandez,Frédéric Andréi,Richard Bohringer,Thuy An Luu,Jacques Fabbri","
        
            Two tapes, two Parisian mob killers, one corrupt policeman, an opera fan, a teenage thief, and the coolest philosopher ever filmed all twist their way through an intricate and stylish French-language thriller.
    ","(12,626)","Jean-Jacques Beineix","
Nominated for 1 BAFTA Film Award. Another 8 wins & 8 nominations.
            ",NA,NA,NA,"
                            117 min
                        "
"Chariots of Fire","(1981)","7.2","Biography","Drama","Nicholas Farrell,Nigel Havers,Ian Charleson,Ben Cross,Daniel Gerroll","
        
            Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience.
    ","(58,102)","Hugh Hudson","
Won 4 Oscars. Another 14 wins & 19 nominations.
            ","
                    $5,500,000 (estimated)
            ",NA,NA,"
                            125 min
                        "
"American Pop","(1981)","7.2","Animation","Drama","Ron Thompson,Mews Small,Jerry Holland,Lisa Jane Persky,Jeffrey Lippa","
        
            The story of four generations of a Russian Jewish immigrant family of musicians whose careers parallel the history of American popular music in the 20th century.
    ","(4,647)","Ralph Bakshi",NA,"
                    $1,500,000 (estimated)
            ","
                    $20,000,000, 18 Feb 1981
            ",NA,"
                            96 min
                        "
"Somewhere in Time","(1980)","7.2","Drama","Fantasy","Christopher Reeve,Jane Seymour,Christopher Plummer,Teresa Wright,Bill Erwin","
        
            A Chicago playwright uses self-hypnosis to travel back in time and meet the actress whose vintage portrait hangs in a grand hotel.
    ","(28,342)","Jeannot Szwarc","
Nominated for 1 Oscar. Another 7 wins & 4 nominations.
            ","
                    $5,100,000 (estimated)
            ",NA,NA,"
                            103 min
                        "
"Hopscotch","(1980)","7.2","Adventure","Comedy","Walter Matthau,Glenda Jackson,Sam Waterston,Ned Beatty,Herbert Lom","
        
            Grounded with a desk job by incompetent superiors, a clever CIA agent retires and writes a tell all memoir that will embarrass his bosses, prompting him to go on the run and elude them.
    ","(7,838)","Ronald Neame","
3 nominations.
            ","
                    $9,500,000 (estimated)
            ",NA,NA,"
                            106 min
                        "
"The Changeling","(1980)","7.2","Horror","Mystery","George C. Scott,Trish Van Devere,Melvyn Douglas,Jean Marsh,John Colicos","
        
            After the death of his wife and daughter in a car crash, a music professor staying at a long-vacant Seattle mansion is dragged into a decades-old mystery by an inexplicable presence in the mansion's attic.
    ","(33,178)","Peter Medak","
11 wins & 5 nominations.
            ","
                    CAD7,600,000 (estimated)
            ",NA,NA,"
                            107 min
                        "
"Jesus","(1979)","7.2","Biography","Drama","Brian Deacon,Rivka Neuman,Alexander Scourby,Niko Nitai,Yosef Shiloach","
        
            Filmed on location in Israel at authentic biblical sites, this inspirational drama and commercial success retells the life of Christ.
    ","(2,336)","John Krish",NA,"
                    $6,000,000 (estimated)
            ",NA,NA,"
                            117 min
                        "
